项目名称,链接,描述,Stars,语言,Forks,最后更新
yaak,https://github.com/mountain-loop/yaak,"The most intuitive desktop API client. Organize and execute REST, GraphQL, WebSockets, Server Sent Events, and gRPC 🦬",17457,TypeScript,678,2026-01-21T00:39:03Z
netch,https://github.com/netchx/netch,A simple proxy client,17336,C#,2826,2026-01-21T01:31:44Z
avante.nvim,https://github.com/yetone/avante.nvim,Use your Neovim like using Cursor AI IDE!,17170,Lua,785,2026-01-21T01:13:38Z
Bulk-Crap-Uninstaller,https://github.com/Klocman/Bulk-Crap-Uninstaller,Remove large amounts of unwanted applications quickly.,17141,C#,753,2026-01-21T00:46:22Z
ML-YouTube-Courses,https://github.com/dair-ai/ML-YouTube-Courses,📺 Discover the latest machine learning / AI courses on YouTube.,17086,Unknown,2092,2026-01-20T21:57:42Z
carrot,https://github.com/xx025/carrot,Free ChatGPT Site List 这儿为你准备了众多免费好用的ChatGPT镜像站点,17051,Unknown,1445,2026-01-20T06:54:06Z
goproxy,https://github.com/snail007/goproxy,"🔥  Proxy is a high performance HTTP(S) proxies, SOCKS5 proxies,WEBSOCKET, TCP, UDP proxy server implemented by golang. Now, it supports chain-style proxies,nat forwarding in different lan,TCP/UDP port forwarding, SSH forwarding.Proxy是golang实现的高性能http,https,websocket,tcp,socks5代理服务器,支持内网穿透,链式代理,通讯加密,智能HTTP,SOCKS5代理,黑白名单,限速,限流量,限连接数,跨平台,KCP支持,认证API。",16819,Go,3104,2026-01-20T09:52:08Z
navi,https://github.com/denisidoro/navi,An interactive cheatsheet tool for the command-line,16644,Rust,531,2026-01-20T17:34:26Z
Luckysheet,https://github.com/dream-num/Luckysheet,Luckysheet upgraded to Univer,16607,JavaScript,2596,2026-01-18T13:05:52Z
gallery-dl,https://github.com/mikf/gallery-dl,Command-line program to download image galleries and collections from several image hosting sites,16542,Python,1305,2026-01-21T02:10:00Z
ChatALL,https://github.com/ai-shifu/ChatALL," Concurrently chat with ChatGPT, Bing Chat, Bard, Alpaca, Vicuna, Claude, ChatGLM, MOSS, 讯飞星火, 文心一言 and more, discover the best answers",16237,JavaScript,1711,2026-01-21T02:30:59Z
A-Programmers-Guide-to-English,https://github.com/yujiangshui/A-Programmers-Guide-to-English,专为程序员编写的英语学习指南 v1.2。在线版本请点 ->,16234,Unknown,1518,2026-01-20T23:26:50Z
Valdi,https://github.com/Snapchat/Valdi,Valdi is a cross-platform UI framework that delivers native performance without sacrificing developer velocity.,16228,C++,544,2026-01-20T21:39:17Z
awesome-python-login-model,https://github.com/Kr1s77/awesome-python-login-model,😮python模拟登陆一些大型网站，还有一些简单的爬虫，希望对你们有所帮助❤️，如果喜欢记得给个star哦🌟,16226,Python,3282,2026-01-21T00:35:33Z
bolt.new,https://github.com/stackblitz/bolt.new,"Prompt, run, edit, and deploy full-stack web applications. -- bolt.new -- Help Center: https://support.bolt.new/ -- Community Support: https://discord.com/invite/stackblitz",16143,TypeScript,14530,2026-01-20T12:02:18Z
sumatrapdf,https://github.com/sumatrapdfreader/sumatrapdf,SumatraPDF reader,15992,C,1882,2026-01-21T01:19:55Z
abu,https://github.com/bbfamily/abu,阿布量化交易系统(股票，期权，期货，比特币，机器学习) 基于python的开源量化交易，量化投资架构,15929,Python,4380,2026-01-21T00:59:22Z
Qbot,https://github.com/UFund-Me/Qbot,[🔥updating ...] AI 自动量化交易机器人(完全本地部署) AI-powered Quantitative Investment Research Platform. 📃 online docs: https://ufund-me.github.io/Qbot   ✨ :news: qbot-mini: https://github.com/Charmve/iQuant,15907,Jupyter Notebook,2266,2026-01-21T02:26:18Z
pyvideotrans,https://github.com/jianchang512/pyvideotrans,Translate the video from one language to another and embed dubbing & subtitles.,15876,Python,1865,2026-01-20T21:51:37Z
lowcode-engine,https://github.com/alibaba/lowcode-engine,An enterprise-class low-code technology stack with scale-out design / 一套面向扩展设计的企业级低代码技术体系,15863,TypeScript,2754,2026-01-21T00:42:39Z
git-tips,https://github.com/521xueweihan/git-tips,:trollface:Git的奇技淫巧,15849,Unknown,3269,2026-01-20T18:00:20Z
the-craft-of-selfteaching,https://github.com/selfteaching/the-craft-of-selfteaching,One has no future if one couldn't teach themself.,15817,Jupyter Notebook,17396,2026-01-20T08:45:43Z
agents.md,https://github.com/agentsmd/agents.md,"AGENTS.md — a simple, open format for guiding coding agents",15726,TypeScript,1095,2026-01-21T02:08:59Z
VideoLingo,https://github.com/Huanshere/VideoLingo,"Netflix-level subtitle cutting, translation, alignment, and even dubbing - one-click fully automated AI video subtitle team | Netflix级字幕切割、翻译、对齐、甚至加上配音，一键全自动视频搬运AI字幕组",15715,Python,1621,2026-01-20T21:45:49Z
